index,ID
" 
 AUGUST [CHRISTIAN HERMANN] TOM DIECK",peAtD
" 
 HONORIA [SOPHIE] DIETRICHSON",peHoDi
 LORENTZ [HENRIK SEGELCKE] DIETRICHSON,peLD
 [JOHANNE] MATHILDE f. Bonnevie DIETRICHSON,peJMD
 [ABRAHAM] SØREN [BØCKHMAN] DIETRICHSON,peSDi
 KATHARINA f. Püttmann DILTHEY,peKD
 WILHELM [CHRISTIAN LUDWIG] DILTHEY,peWD
 FRANZ [FERDINAND] (fra 1867: von; fra 1876: Freiherr von) DINGELSTEDT,peFvD
 CARL [FREDERIK] DIRIKS,peCFD
 BENJAMIN (fra 1876: earl of Beaconsfield) DISRAELI,peBDi
 [JØRGEN] ANDREAS DOLLERIS,peAD
 ALFRED [WILHELM] DOVE,peADo
 HOLGER [HENRIK HERHOLDT] DRACHMANN,peHD
 ADOLPH [LUDVIG] DREWSEN,peADrew
 ALFRED DREYFUS,peADr
 AXEL [CHARLOT] DROLSUM,peACD
 GENEVIÉVE f. Taine DUBOIS,peGeDu
 [LOUISE] PAUL DUBOIS,peLPDu
" 
 PAUL DUBOIS",pePDu
 CHRISTOPHER [LORENTZ] DUE,peCLD
 FREDERIK [GEORG KNUT] DUE,peFGKD
 LOUISE AUGUSTA f. Gude DUE,peLAD
 ALEXANDRE DUMAS D.Y.,peADum
 NIKOLAUS DUMBA,peND
" [CARL CHRISTIAN HENRIK] BERNHARD DUNKER 
",peBD
" 
 CONRADINE [BIRGITTE] f. Hansteen DUNKER",peCDu
 GIOVANNI DUPRÉ,peGDu
 BERTRAM DYBWAD,peBDy
 JACOB DYBWAD,peJDy
 JOHANNE f. Juell DYBWAD,peJoDy
 VILHELM DYBWAD,peVD
 AMALIE f. Unsrud (før sitt giftermål kjent som Amalie Jacobsen) DØVLE,peDov
" OLAF (f. Ole Rasmussen Olsen, navnet Døvle tatt i voksen alder etter morsgården i Stokke) DØVLE",peODov
" 
 LUDVIG KRISTENSEN DAA",peLKDaa
 PERNILLE [MARIE] f. Kobroe Daae DAA,pePMD
 ANNE [SOFIE] DAAE,peAnDa
 [JOHANNE] CHRISTIANE DAAE,peChDa
 JOHANNE [SIGVARDA] f. Koren DAAE,peJSD
" JONAS RAVN DAAE 
",peJRD
 LUDVIG DAAE,peLuDa
 LUDVIG LUDVIGSEN DAAE,peLDa
 JOACHIM EBBELL,peJEb
" CLARA (Marthe Clarine) g. Bie EBBELL 
",peCE
 JOSEPHINE [HORTENSIA NANCY ADELAIDE] ECKARDT,peJosE
 GUSTAF [ELIAS] EDGREN,peGEd
 ERIK [WILHELM] AF EDHOLM,peEaE
 [MARIE JOSEPH] AUGUSTE EHRHARD,peAEh
 LUDWIG [JULIUS] EISENBERG,peLE
 JAHN EKENÆS,peJEk
 JULIE f. Levi ELIAS,peJuEl
 JULIUS ELIAS,peJE
 AXEL [WILHELM JULIUS] ELMLUND,peAWJE
 CORNELIS KAREL ELOUT,peCKE
 KRISTIAN [MANDRUP] ELSTER,peKE
 EDUARD VON ENGERTH,peEvE
 ARMAND ÉPHRAÏM,peAE
" 
 WOLFGANG ERHARDT",peDrEr
 ANDREAS EMIL ERICHSEN/ERIKSEN,peAEE
 ERNST,peErnst
 KRISTIAN [SOPHUS AUGUST] ERSLEV,peKSAE
 [CARL] PETER [PARELIUS] ESSENDROP,peEssen
" (Blanche, f. baronesse Pereira, T. Ethofer og Mareo Ethofer) ETHOFER",peEt
 EUGÉNIE,peEug
 EUNAPIOS,peEun
