,title,type,date,ID,clearname,fullID
V18641012CBl,Dedikasjon til Carl Bloch i Kongs-Emnerne,dedication,1864-10-12,CBl,CARL [HEINRICH] BLOCH,peCBl
V1864JPLN,Dedikasjon til J. Peter L. Nielsen i Kongs-Emnerne,dedication,1864,JPLN,N/A,N/A
V1864MB,Dedikasjon til Michael Birkeland i Kongs-Emnerne,dedication,1864,MB,MICHAEL BIRKELAND,peMB
V1864NAN,Dedikasjon til Niels A. Nicolaysen i Kongs-Emnerne,dedication,1864,NAN,N/A,N/A
Vudat1866-70AK,"Hilsen til Anton Klubien på fotografi, gitt ham sammen med Brand-eksemplar (omtalt i brev av 26.10.1865)",greeting,1866,AK,ANTON [HIERONYMUS FRITZSCHE] KLUBIEN [klubin],peAK
V18670816CPi,"Innførsel i gjestebok, Crescenzo Pisani",greeting,1867-08-16,CPi,N/A,N/A
V18671025LRM,"Hilsen i gjestebok, La Rosa Magra",greeting,1867-10-25,LRM,N/A,N/A
V18671221Mo,Hilsen til Møller på baksiden av fotografi fra Forum Romanum,greeting,1867-12-21,Mo,MARCUS [MØLLER] THRANE,peMThr
V18690926HSTp,Hilsen til Hedvig Stousland på fotografi,greeting,1869-09-26,HSTp,HEDVIG (ved dåpen Hedevig Cathrine) f. Ibsen STOUSLAND,peHSto
V18691224EStj,Dedikasjon til Edvard Stjernström i De Unges Forbund,dedication,1869-12-24,EStj,[CARL] EDVARD STJERNSTRÖM,peEStj
V1871JHT,Dedikasjon til Johan Herman Thoresen i Digte,dedication,1871,JHT,JOHAN HERMAN THORESEN,peJHT
V1871MT,Dedikasjon til Magdalene Thoresen i Digte,dedication,1871,MT,[ANNA] MAGDALENE f. Kragh THORESEN,peMT
V1871CCH,Dedikasjon til Carl Christian Hall i Digte,dedication,1871,CCH,CARL CHRISTIAN HALL,peCCH
V1871AFK,Dedikasjon til A.F. Krieger i Digte,dedication,1871,AFK,ANDREAS FREDERIK KRIEGER,peAFK
V18720407ANor,Dedikasjon til Augusta Nordenfeldt i Brand,dedication,1872-04-07,ANor,N/A,N/A
V18721224CF,Dedikasjon til Conrad Falsen i Kongs-Emnerne,dedication,1872-12-24,CF,CONRAD FALSEN,peCF
V18731125SK,Hilsen til Sophie Krohn på fotografi,greeting,1873-11-25,SK,SOPHIE f. Cappelen KROHN,peSK
V18731224MTh,Dedikasjon til Marie Thoresen i Moralische Novellen,dedication,1873-12-24,MTh,MARIE [SOPHIE] THORESEN,peMTh
V1873JCHe,Hilsen til J.C. Heuch på fotografi,greeting,1873,JCHe,N/A,N/A
V18740210EHol,Dedikasjon til Elise Holck i Peer Gynt,dedication,1874-02-10,EHol,ELISE (Elisabeth Wilhelmine) HOLCK,peEHol
V18740726SG,"Innførsel i gjestebok, Sarabråten",greeting,1874-07-26,SG,SIGVARD [EMIL] GUNDERSEN,peSG
V18740926HWi,Hilsen i Hedwig Winterhjelms stambok,greeting,1874-09-26,HWi,HEDVIG [CHARLOTTA] f. Forsman WINTERHJELM/WINTER-HJELM,peHWi
V18740927HHo,Dedikasjon til Henriette Hofgaard i Kejser og Galilæer,dedication,1874-09-27,HHo,HENRIETTE HOFGAARD,peHHo
V18750326SiI,Dedikasjon til Sigurd Ibsen i Catilina,dedication,1875-03-26,SiI,SIGURD IBSEN,peSiI
V1875UB,Dedikasjon til Universitetsbiblioteket i Kongres,dedication,1875,UB,N/A,N/A
V18760422KP,Dedikasjon til Karl Perfall i Nordische Heerfahrt,dedication,1876-04-22,KP,KARL [AUGUST FRANZ SALES] PERFALL,peKP
V18760428CZ,Dedikasjon til Clara Ziegler i Nordische Heerfahrt,dedication,1876-04-28,CZ,N/A,N/A
V18760428LWe,Dedikasjon til Louise Werner i Nordische Heerfahrt,dedication,1876-04-28,LWe,N/A,N/A
V18760504KaFr,Dedikasjon til Karl Frenzel i Nordische Heerfahrt,dedication,1876-05-04,KaFr,N/A,N/A
V18760927NN,Innførsel i gjestebok ved tysk hotell,greeting,1876-09-27,NN,N/A,N/A
V18761224EHol,Hilsen til Elise Holck på fotografi,greeting,1876-12-24,EHol,ELISE (Elisabeth Wilhelmine) HOLCK,peEHol
V1876CMol,Dedikasjon til C. Möller i Nordische Heerfahrt,dedication,1876,CMol,N/A,N/A
V1876LDi,Dedikasjon til Ludwig Diestel i Nordische Heerfahrt,dedication,1876,LDi,N/A,N/A
V1876PHey,Dedikasjon til Paul Heyse i Nordische Heerfahrt,dedication,1876,PHey,PAUL HEYSE,pePHey
V1876RKo,Dedikasjon til Rosamunde Königsdörffer i Nordische Heerfahrt,dedication,1876,RKo,N/A,N/A
V1876JR,Dedikasjon til Julie Ruhkopf i Nordische Heerfahrt,dedication,1876,JR,JULIE RUHKOPF,peJR
V18770206LDi,Dedikasjon til Ludwig Diestel i Die Herrin von Oestrot,dedication,1877-02-06,LDi,N/A,N/A
V18770210RWal,Dedikasjon til Robert Waldmüller i Die Herrin von Oestrot,dedication,1877-02-10,RWal,N/A,N/A
